year,game,viewers
2020,League of Legends,3884667
2020,Free Fire,2566046
2020,Mobile Legends: Bang Bang,1387047
2020,PUBG Mobile,1153865
2020,Counter-Strike,1002132
2021,League of Legends,4018728
2021,Free Fire,5415990
2021,Mobile Legends: Bang Bang,3191404
2021,PUBG Mobile,3801998
2021,Counter-Strike,2748434
2022,League of Legends,5147701
2022,Mobile Legends: Bang Bang,2845364
2022,Counter-Strike,2113610
2022,Dota 2,1750253
2022,Valorant,1505804
2023,League of Legends,6402760
2023,Mobile Legends: Bang Bang,5067107
2023,Counter-Strike,1528724
2023,Dota 2,1442274
2023,Valorant,1444670
2024,League of Legends,6856769
2024,Mobile Legends: Bang Bang,4129026
2024,Counter-Strike,1853954
2024,Dota 2,1513877
2024,Valorant,1687848
